Larger Graph
50
0	7	1
34	1	15
1	45	2
21	1	23
1	22	2
49	2	20
2	25	3
33	3	5
3	17	4
27	3	37
3	42	5
17	4	18
4	27	6
43	6	14
6	13	7
28	6	29
7	41	8
44	8	20
8	48	10
10	9	12
9	30	10
46	10	1
10	7	11
28	10	29
10	28	11
29	10	30
10	34	11
41	11	22
11	30	13
9	12	12
12	21	13
21	12	27
13	22	14
23	13	48
14	8	15
21	14	49
15	8	16
34	15	50
16	9	18
20	17	25
17	38	19
6	18	29
18	32	19
42	19	16
19	40	21
3	20	36
20	38	21
46	22	7
23	11	24
21	23	23
24	4	25
5	24	39
24	43	26
2	25	35
26	9	27
12	26	17
27	5	28
24	27	33
27	31	28
42	28	23
28	29	29
39	28	45
29	22	30
49	30	24
30	37	32
18	31	33
32	5	33
6	32	14
32	37	33
47	33	3
33	8	34
19	34	3
34	19	35
40	35	10
35	37	36
46	36	21
36	42	38
5	37	10
37	35	38
47	37	48
38	35	39
37	38	39
39	18	40
42	40	16
41	28	42
44	42	32
43	37	44
38	44	40
45	8	46
14	45	15
45	15	46
49	46	17
47	23	48
30	48	13
48	21	49
33	48	34
49	34	50
22	49	50

