Larger Graph #2
50
0	7	12
0	34	1
1	14	3
1	45	8
1	21	9
1	22	10
1	22	6
1	49	4
2	19	1
2	25	12
2	33	3
3	4	4
3	17	6
3	27	7
3	36	2
3	42	2
4	17	1
4	17	4
4	27	7
5	43	3
6	13	9
6	13	12
6	28	1
6	28	3
7	41	4
7	44	7
8	19	8
8	48	3
9	18	1
9	11	5
9	30	3
9	46	4
10	0	4
10	7	3
10	28	7
10	28	6
10	28	4
10	29	5
10	29	9
10	34	11
10	41	10
11	21	3
11	30	5
12	9	7
12	11	9
12	21	3
12	21	4
12	26	6
13	22	7
13	23	9
13	47	8
14	8	4
14	21	6
14	48	6
15	8	7
15	34	6
15	49	3
16	9	2
17	20	6
17	24	8
17	38	7
18	6	9
18	28	11
18	32	2
18	42	3
19	15	17
19	40	2
20	3	3
20	35	7
20	38	8
20	46	4
22	6	9
23	11	11
23	21	3
23	22	5
24	4	4
24	5	5
24	38	1
24	43	6
25	2	9
25	34	8
26	9	5
26	12	4
26	16	2
27	5	5
27	24	9
27	32	11
27	31	15
27	42	2
28	22	3
28	29	6
28	39	8
28	44	8
29	22	6
29	49	7
30	23	5
30	37	3
31	18	4
31	32	7
32	5	1
32	6	10
32	13	11
32	37	3
32	47	4
33	2	5
33	8	6
33	19	7
34	2	8
34	19	9
34	40	10
35	9	11
35	37	10
35	46	9
36	20	8
36	42	7
37	5	6
37	9	5
37	35	4
37	47	3
37	47	2
38	35	4
38	37	6
38	13	8
39	18	10
39	42	9
40	15	7
41	28	5
41	44	3
42	31	2
43	37	4
43	38	6
44	39	8
45	8	10
45	14	12
45	14	11
45	15	9
45	49	7
46	16	5
47	23	3
47	30	1
48	12	2
48	21	4
48	33	6
48	33	8
49	34	10
49	22	12
49	4	3

